rhyme_unit	syllables_after	family_size	representative	rep_zipf	spelling_variants	all_words
UH1 R IH0 S S	1	3	tourists	4.06	tourists (4.1)	tourists, jurists, purists
AE1 V AH0 L D	1	3	traveled	4.06	traveled (4.1)	traveled, travelled, unraveled
AO1 NG IH0 NG	1	3	belonging	4.05	belonging (4.0)	belonging, longing, prolonging
IY1 Z AH0 L	1	3	diesel	4.05	diesel (4.0)	diesel, weasel, easel
EH1 R AH0 S T	1	3	embarrassed	4.05	embarrassed (4.0),  rarest (3.1)	embarrassed, rarest, terraced
ER1 D ER0 Z	1	3	murders	4.05	murders (4.0)	murders, herders, girders
IY1 N IH0 S	1	3	penis	4.05	penis (4.0),  machinists (2.6),  machinists' (2.6)	penis, machinists, machinists'
IY1 S AH0 S	1	3	thesis	4.05	thesis (4.0),  rhesus (2.6)	thesis, prosthesis, rhesus
AO1 R T AH0	1	3	puerto	4.04	puerto (4.0),  aorta (2.9)	puerto, aorta, porta
IY1 P IY0	1	3	creepy	4.04	creepy (4.0),  principe (2.5)	creepy, sleepy, principe
EH1 D W ER0 D Z	1	3	edwards	4.04	edwards (4.0),  edwards' (4.0),  edward's (2.8)	edwards, edwards', edward's
AE1 L OW0	1	3	shallow	4.04	shallow (4.0),  palo (3.3)	shallow, palo, gallo
EH1 R T OW2	1	3	puerto	4.04	puerto (4.0)	puerto, umberto, gilberto
AA1 R T IH0 K	1	3	arctic	4.03	arctic (4.0)	arctic, antarctic, cathartic
IH1 F ER0	1	3	differ	4.03	differ (4.0)	differ, stiffer, sniffer
IH1 K L AH0 S	1	3	nicholas	4.03	nicholas (4.0),  nicholas' (4.0),  nicklaus (2.7)	nicholas, nicholas', nicklaus
IH1 N IH0 NG Z	1	3	innings	4.02	innings (4.0)	innings, beginnings, winnings
AH1 S IH0 Z	1	3	buses	4.02	buses (4.0)	buses, discusses, trusses
IH1 SH ER0	1	3	fisher	4.02	fisher (4.0),  fissure (2.8)	fisher, fischer, fissure
AO1 D ER0	1	3	broader	4.01	broader (4.0)	broader, lauder, marauder
IH1 M B ER0	1	3	timber	4.01	timber (4.0),  timbre (2.6)	timber, kimber, timbre
AO1 K IY0	1	3	milwaukee	4.01	milwaukee (4.0)	milwaukee, walkie, talkie
IY1 M AH0 N Z	1	3	demons	4.0	demons (4.0),  siemens (3.3),  freeman's (2.5)	demons, siemens, freeman's
AY1 B ER0 Z	1	3	subscribers	4.0	subscribers (4.0),  subscribers' (4.0)	subscribers, subscribers', fibers
AO1 R T AH0 L	1	3	portal	4.0	portal (4.0)	portal, mortal, immortal
IH1 N S T ER0	1	3	westminster	4.0	westminster (4.0)	westminster, minster, spinster
AH1 B AH0 L Z	1	3	troubles	3.99	troubles (4.0)	troubles, doubles, bubbles
OW1 S T ER0 Z	1	3	posters	3.99	posters (4.0)	posters, coasters, roasters
IY1 D AH0 L	1	3	needle	3.98	needle (4.0)	needle, cheadle, beadle
UW1 B IY0	1	3	ruby	3.98	ruby (4.0),  scooby (3.3)	ruby, scooby, booby
AW1 D IH0 D	1	3	crowded	3.98	crowded (4.0)	crowded, clouded, shrouded
AH1 CH IH0 Z	1	3	touches	3.98	touches (4.0)	touches, clutches, crutches
EH1 P IH0 NG	1	3	stepping	3.98	stepping (4.0)	stepping, prepping, epping
AE1 N F ER0 D	1	3	stanford	3.98	stanford (4.0)	stanford, sanford, hanford
IH1 N S IH0 NG	1	3	convincing	3.97	convincing (4.0)	convincing, rinsing, unconvincing
OW1 AH0 L	1	3	joel	3.97	joel (4.0),  lowell (3.4)	joel, lowell, crowell
AH1 N ER0 Z	1	3	runners	3.97	runners (4.0),  runner's (2.6)	runners, gunners, runner's
AE1 N IH0 T	1	3	janet	3.96	janet (4.0),  granite (3.9),  gannett (2.5)	janet, granite, gannett
UW1 B ER0	1	3	uber	3.96	uber (4.0)	uber, gruber, huber
IY1 P OW0	1	3	depot	3.95	depot (4.0),  repo (3.1)	depot, repo, filippo
AW1 N S AH0 L Z	1	3	councils	3.94	councils (3.9),  council's (3.4),  counsels (2.7)	councils, council's, counsels
AE1 N D R UW2 Z	1	3	andrews	3.93	andrews (3.9),  andrews' (3.9),  andrew's (3.1)	andrews, andrews', andrew's
IH1 Z ER0 D	1	3	wizard	3.93	wizard (3.9)	wizard, lizard, blizzard
UW1 B AH0 N	1	3	cuban	3.93	cuban (3.9),  reuben (3.2)	cuban, reuben, ruben
AY1 K AH0 L Z	1	3	cycles	3.93	cycles (3.9),  michael's (3.5),  michaels (3.4)	cycles, michael's, michaels
EY1 V IY0 Z	1	3	davies	3.93	davies (3.9),  navy's (3.2)	davies, navy's, navies
EY1 B L IH0 NG	1	3	enabling	3.92	enabling (3.9)	enabling, labeling, disabling
AH1 B AH0 L D	1	3	troubled	3.91	troubled (3.9)	troubled, doubled, bubbled
AE1 F T IH0 D	1	3	drafted	3.91	drafted (3.9)	drafted, crafted, grafted
IH1 K S AH0 N	1	3	nixon	3.91	nixon (3.9)	nixon, dixon, dickson
ER1 B AH0 L	1	3	verbal	3.91	verbal (3.9)	verbal, herbal, nonverbal
AE1 Z AH0	1	3	plaza	3.91	plaza (3.9)	plaza, piazza, raza
AO1 R T IH0 JH	1	3	shortage	3.91	shortage (3.9)	shortage, portage, reportage
AE1 NG G AH0 L Z	1	3	angles	3.9	angles (3.9)	angles, bangles, tangles
AY1 N AH0 Z	1	3	china's	3.9	china's (3.9),  carolinas (2.8)	china's, carolina's, carolinas
AA1 N AH0 L D Z	1	3	mcdonald's	3.9	mcdonald's (3.9),  mcdonalds (3.4)	mcdonald's, mcdonalds, donald's
AE1 K S IH0 NG	1	3	relaxing	3.9	relaxing (3.9)	relaxing, taxing, waxing
AE1 S T ER0 D	1	3	bastard	3.89	bastard (3.9),  mastered (3.6)	bastard, mastered, plastered
AW1 Z ER0	1	3	browser	3.89	browser (3.9)	browser, hauser, trouser
IY1 AH0 M Z	1	3	museums	3.89	museums (3.9),  museum's (3.2),  liam's (2.6)	museums, museum's, liam's
AY1 N M AH0 N T S	1	3	assignments	3.88	assignments (3.9)	assignments, alignments, refinements
AE1 CH M AH0 N T	1	3	attachment	3.88	attachment (3.9)	attachment, detachment, catchment
IY1 T AH0 L Z	1	3	beatles	3.88	beatles (3.9),  beatles' (3.9)	beatles, beatles', beetles
EH1 N AH0 N T S	1	3	tenants	3.88	tenants (3.9),  tenants' (3.9)	tenants, tenants', lieutenants
AA1 G AH0	1	3	saga	3.87	saga (3.9)	saga, aga, braga
AA1 M AH0 D	1	3	muhammad	3.87	muhammad (3.9),  ahmed (3.8)	muhammad, ahmed, mohamad
IY1 JH AH0 S	1	3	prestigious	3.86	prestigious (3.9),  aegis (3.1)	prestigious, egregious, aegis
ER1 T AH0	1	3	alberta	3.86	alberta (3.9)	alberta, roberta, berta
EH1 N T OW0	1	3	sacramento	3.86	sacramento (3.9)	sacramento, memento, bento
AA1 N D AH0 N T	1	3	correspondent	3.86	correspondent (3.9)	correspondent, respondent, despondent
AY1 V AH0 N	1	3	ivan	3.86	ivan (3.9),  liven (2.6)	ivan, liven, niven
EY1 P AH0 L	1	3	maple	3.86	maple (3.9),  papal (3.4)	maple, staple, papal
AY1 IH0 N	1	3	o'brien	3.85	o'brien (3.9),  tryin' (3.5)	o'brien, tryin', brien
IY1 V IY0	1	3	levy	3.85	levy (3.9),  stevie (3.7),  divi (2.5)	levy, stevie, divi
EH1 D IH0 NG Z	1	3	readings	3.85	readings (3.9)	readings, weddings, headings
IH1 CH ER0 D Z	1	3	richards	3.85	richards (3.9),  richards' (3.9),  richard's (3.1)	richards, richards', richard's
AH1 N T AH0 D	1	3	confronted	3.84	confronted (3.8)	confronted, hunted, blunted
UH1 R AH0 N	1	3	urine	3.84	urine (3.8),  buren (2.9),  honduran (2.9)	urine, buren, honduran
AA1 S T IH0 K	1	3	diagnostic	3.83	diagnostic (3.8)	diagnostic, agnostic, caustic
AE1 R AH0 L Z	1	3	barrels	3.83	barrels (3.8),  carroll's (2.6),  carol's (2.5)	barrels, carroll's, carol's
AA1 N D IY0	1	3	gandhi	3.83	gandhi (3.8),  blondie (3.0)	gandhi, blondie, bondi
AO1 T IY0	1	3	naughty	3.83	naughty (3.8)	naughty, doughty, haughty
AW1 N D ER0 Z	1	3	founders	3.83	founders (3.8),  founders' (3.8),  founder's (2.7)	founders, founders', founder's
IH1 K N AH0 S	1	3	sickness	3.83	sickness (3.8)	sickness, thickness, quickness
AE1 L V IH0 N	1	3	calvin	3.82	calvin (3.8)	calvin, alvin, galvin
EH1 L OW0 Z	1	3	fellows	3.82	fellows (3.8)	fellows, bellows, yellows
IH1 B AH0 T S	1	3	exhibits	3.82	exhibits (3.8)	exhibits, prohibits, inhibits
UH1 D IY0	1	3	woody	3.82	woody (3.8),  goodie (2.8)	woody, goody, goodie
AH1 M B ER0 D	1	3	numbered	3.82	numbered (3.8)	numbered, outnumbered, unencumbered
AE1 K IH0 T S	1	3	jackets	3.81	jackets (3.8)	jackets, brackets, packets
AA1 K S AY2 D	1	3	dioxide	3.81	dioxide (3.8)	dioxide, oxide, peroxide
IH1 B AH0 N	1	3	ribbon	3.81	ribbon (3.8),  ibn (3.5)	ribbon, ibn, gibbon
ER1 JH AH0 N Z	1	3	surgeons	3.81	surgeons (3.8),  virgins (3.3),  surgeon's (2.6)	surgeons, virgins, surgeon's
EH1 L T IH0 NG	1	3	melting	3.8	melting (3.8)	melting, smelting, belting
IH1 L D ER0 Z	1	3	builders	3.8	builders (3.8),  builders' (3.8)	builders, builders', childers
AH1 D IH0 D	1	3	flooded	3.79	flooded (3.8)	flooded, blooded, studded
AA1 M ER0 Z	1	3	bombers	3.79	bombers (3.8),  palmer's (2.8)	bombers, chalmers, palmer's
UH1 L ER0	1	3	fuller	3.79	fuller (3.8)	fuller, puller, buller
AO1 R N IY0	1	3	horny	3.79	horny (3.8)	horny, corny, thorny
EH1 DH ER0 Z	1	3	feathers	3.79	feathers (3.8)	feathers, weathers, leathers
EH1 P T ER0	1	3	receptor	3.79	receptor (3.8),  sceptre (2.6)	receptor, interceptor, sceptre
AE1 N AH0 M	1	3	phantom	3.78	phantom (3.8),  annum (3.2),  lanham (2.6)	phantom, annum, lanham
EH1 L T IH0 D	1	3	melted	3.78	melted (3.8)	melted, belted, pelted
OW1 L D IH0 D	1	3	folded	3.78	folded (3.8)	folded, molded, scolded
AO1 R N IH0 NG Z	1	3	warnings	3.78	warnings (3.8),  morning's (3.1)	warnings, mornings, morning's
IH1 JH AH0 T	1	3	digit	3.77	digit (3.8),  bridget (3.4)	digit, bridget, midget
IY1 P AH0 S T	1	3	deepest	3.77	deepest (3.8)	deepest, cheapest, steepest
IH1 F ER0 D	1	3	clifford	3.77	clifford (3.8),  differed (3.3)	clifford, differed, gifford
AE1 B IH0 NG	1	3	grabbing	3.77	grabbing (3.8)	grabbing, stabbing, dabbing
EY1 V ER0 D	1	3	favored	3.77	favored (3.8)	favored, flavored, wavered
AE1 TH Y UW0 Z	1	3	matthews	3.77	matthews (3.8),  matthew's (2.8)	matthews, mathews, matthew's
AA1 L IH0 SH T	1	3	polished	3.76	polished (3.8)	polished, abolished, demolished
AO1 S AH0 N	1	3	dawson	3.76	dawson (3.8)	dawson, lawson, mawson
AA1 R IH0 S	1	3	maurice	3.76	maurice (3.8),  doris (3.6)	maurice, doris, ferraris
EH1 L D ER0 Z	1	3	elders	3.76	elders (3.8),  elders' (3.8)	elders, elders', welders
OY1 L IH0 NG	1	3	boiling	3.75	boiling (3.8)	boiling, spoiling, toiling
AE1 N D L ER0	1	3	chandler	3.75	chandler (3.8)	chandler, handler, sandler
AO1 L AH0	1	3	paula	3.75	paula (3.8)	paula, walla, wala
IY1 F IH0 NG	1	3	briefing	3.74	briefing (3.7)	briefing, beefing, debriefing
IH1 B Y UW0 T S	1	3	contributes	3.74	contributes (3.7)	contributes, tributes, distributes
AE1 V IH0 N	1	3	gavin	3.74	gavin (3.7),  havin' (3.1)	gavin, havin', savin
AY1 K OW0	1	3	psycho	3.74	psycho (3.7)	psycho, geico, miko
AA1 K AH0 N	1	3	talkin	3.73	talkin (3.7),  moroccan (3.5),  aachen (2.6)	talkin, moroccan, aachen
AE1 S T R OW0	1	3	castro	3.73	castro (3.7)	castro, astro, gastro
AE1 NG K OW0	1	3	franco	3.73	franco (3.7)	franco, blanco, banco
IH1 R S AH0 N	1	3	pearson	3.73	pearson (3.7)	pearson, macpherson, pierson
AE1 D AH0 L	1	3	saddle	3.73	saddle (3.7)	saddle, paddle, straddle
EH1 T R OW0	1	3	retro	3.73	retro (3.7)	retro, pietro, petro
EH1 R W EY2 Z	1	3	airways	3.72	airways (3.7),  airways' (3.7)	airways, airways', fairways
IH1 S T AH0	1	3	vista	3.71	vista (3.7)	vista, krista, christa
IY1 N L IY0	1	3	routinely	3.71	routinely (3.7),  keenly (3.1),  cleanly (3.0)	routinely, keenly, cleanly
EY1 S AH0	1	3	teresa	3.71	teresa (3.7)	teresa, theresa, mesa
EH1 N T IH0 S	1	3	apprentice	3.7	apprentice (3.7),  prentiss (2.7)	apprentice, prentice, prentiss
AE1 M AH0 L Z	1	3	mammals	3.7	mammals (3.7),  camels (3.3),  camel's (2.5)	mammals, camels, camel's
IH1 N JH AH0 N T	1	3	contingent	3.69	contingent (3.7)	contingent, stringent, astringent
EH1 N D AH0 N	1	3	brendan	3.69	brendan (3.7),  tendon (3.3)	brendan, tendon, brendon
IH1 N S IH0 Z	1	3	princes	3.69	princes (3.7),  prince's (3.2)	princes, prince's, convinces
AO1 S T IH0 NG	1	3	costing	3.69	costing (3.7)	costing, exhausting, frosting
AE1 N Y AH0 L Z	1	3	daniels	3.69	daniels (3.7),  daniel's (3.1),  granules (2.8)	daniels, daniel's, granules
IH1 G M AH0	1	3	stigma	3.69	stigma (3.7)	stigma, sigma, enigma
IH1 L IH0 S	1	3	willis	3.69	willis (3.7)	willis, phyllis, gillis
AH1 S T ER0 Z	1	3	clusters	3.68	clusters (3.7)	clusters, busters, thrusters
UW1 N IH0 NG	1	3	tuning	3.67	tuning (3.7)	tuning, pruning, ballooning
AE1 R IH0 T	1	3	garrett	3.67	garrett (3.7),  barret (2.5)	garrett, barrett, barret
AA1 R L T AH0 N	1	3	carlton	3.67	carlton (3.7)	carlton, charlton, carleton
AE1 TH IY0	1	3	kathy	3.67	kathy (3.7)	kathy, cathy, homeopathy
AH1 N CH IH0 NG	1	3	punching	3.67	punching (3.7)	punching, crunching, munching
AE1 N T IY0 Z	1	3	panties	3.67	panties (3.7),  dante's (2.7)	panties, vigilantes, dante's
AH1 V ER0 N	1	3	govern	3.67	govern (3.7)	govern, self-govern, mcgovern
AH1 SH AH0 Z	1	3	russia's	3.66	russia's (3.7),  rushes (3.3)	russia's, rushes, blushes
ER1 T AH0 N Z	1	3	curtains	3.66	curtains (3.7),  burton's (2.6),  mertens (2.5)	curtains, burton's, mertens
IY1 N IH0 NG Z	1	3	meanings	3.66	meanings (3.7)	meanings, screenings, leanings
OW1 M IY0	1	3	naomi	3.65	naomi (3.6),  homey (2.8),  salome (2.7)	naomi, homey, salome
ER1 Z IY0 Z	1	3	jerseys	3.65	jerseys (3.6),  jersey's (2.9)	jerseys, jersey's, new-jersey's
AE1 SH AH0	1	3	sasha	3.65	sasha (3.6)	sasha, natasha, tasha
AY1 S ER0	1	3	nicer	3.65	nicer (3.6)	nicer, spicer, slicer
AO1 K IH0 N Z	1	3	hawkins	3.64	hawkins (3.6),  hawkins' (3.6)	hawkins, hawkins', dawkins
EY1 M ER0 Z	1	3	gamers	3.64	gamers (3.6)	gamers, framers, famers
EH1 K IY0	1	3	becky	3.63	becky (3.6),  mbeki (2.7),  techie (2.5)	becky, mbeki, techie
IH1 N T AH0 N Z	1	3	clinton's	3.63	clinton's (3.6),  clintons (3.1),  clintons' (3.1)	clinton's, clintons, clintons'
OW1 AH0 N Z	1	3	owens	3.63	owens (3.6),  cohen's (2.9)	owens, cohen's, owen's
EH1 D M AH0 N D	1	3	edmund	3.63	edmund (3.6),  redmond (3.2)	edmund, redmond, edmond
AA1 D IH0 K	1	3	periodic	3.63	periodic (3.6)	periodic, melodic, episodic
AW1 L ER0	1	3	fowler	3.63	fowler (3.6)	fowler, prowler, howler
EY1 P AH0 L Z	1	3	naples	3.63	naples (3.6)	naples, staples, maples
EH1 R AH0 F S	1	3	tariffs	3.63	tariffs (3.6),  sheriff's (3.6)	tariffs, sheriff's, sheriffs
IH1 Z ER0 D Z	1	3	wizards	3.62	wizards (3.6)	wizards, lizards, blizzards
AH1 B L IH0 NG	1	3	doubling	3.61	doubling (3.6)	doubling, troubling, bubbling
IY1 JH IY0	1	3	fiji	3.61	fiji (3.6)	fiji, luigi, gigi
IY1 W EY2	1	3	freeway	3.61	freeway (3.6)	freeway, leeway, seaway
AE1 Z M IH0 N	1	3	jasmine	3.61	jasmine (3.6),  yasmin (2.9)	jasmine, yasmin, jasmin
IH1 N AH0 N	1	3	linen	3.61	linen (3.6),  mckinnon (3.0)	linen, mckinnon, mackinnon
IH1 R F AH0 L	1	3	cheerful	3.6	cheerful (3.6)	cheerful, fearful, tearful
AY1 M AE2 K S	1	3	climax	3.6	climax (3.6),  imax' (3.1)	climax, imax, imax'
OW1 P AH0	1	3	europa	3.6	europa (3.6)	europa, copa, maricopa
IY1 T AH0 S	1	3	fetus	3.6	fetus (3.6),  treatise (3.4),  margaritas (2.8)	fetus, treatise, margaritas
IH1 K S IH0 Z	1	3	fixes	3.59	fixes (3.6)	fixes, mixes, sixes
EH1 N Z IY0	1	3	mackenzie	3.59	mackenzie (3.6),  frenzy (3.4)	mackenzie, frenzy, mckenzie
EH1 N AH0 L Z	1	3	fundamentals	3.59	fundamentals (3.6),  kennels (2.8)	fundamentals, instrumentals, kennels
AA1 R AH0 S	1	3	doris	3.58	doris (3.6),  belarus (3.5),  guitarists (2.9)	doris, belarus, guitarists
AE1 NG G OW0	1	3	tango	3.58	tango (3.6)	tango, mango, durango
AE1 SH AH0 N Z	1	3	passions	3.58	passions (3.6)	passions, rations, fashions
EY1 N T IH0 F S	1	3	plaintiffs	3.58	plaintiffs (3.6),  plaintiffs' (3.6),  plaintiff's (2.6)	plaintiffs, plaintiffs', plaintiff's
EY1 N IH0 F S	1	3	plaintiffs	3.58	plaintiffs (3.6),  plaintiffs' (3.6),  plaintiff's (2.6)	plaintiffs, plaintiffs', plaintiff's
EH1 N S L IY0	1	3	immensely	3.57	immensely (3.6)	immensely, intensely, densely
ER1 W IH0 N	1	3	irwin	3.57	irwin (3.6)	irwin, erwin, sherwin
AO1 N T IY0	1	3	monty	3.55	monty (3.5),  auntie (3.3),  jaunty (2.5)	monty, auntie, jaunty
EH1 JH IY0	1	3	reggie	3.55	reggie (3.5),  edgy (3.4)	reggie, edgy, veggie
IH1 P S IY0	1	3	gypsy	3.55	gypsy (3.5),  tipsy (2.9),  poughkeepsie (2.8)	gypsy, tipsy, poughkeepsie
IH1 M P S AH0 N Z	1	3	simpsons	3.55	simpsons (3.5),  simpsons' (3.5),  simpson's (2.9)	simpsons, simpsons', simpson's
AH1 L AH0	1	3	abdullah	3.54	abdullah (3.5),  mccullough (2.9)	abdullah, mccullough, mullah
AA1 R N IY0	1	3	barney	3.54	barney (3.5),  arnie (2.9)	barney, carney, arnie
EH1 R IH0 NG Z	1	3	bearings	3.54	bearings (3.5)	bearings, herrings, red-herrings
AY1 M IY0	1	3	jaime	3.54	jaime (3.5),  slimy (3.1)	jaime, slimy, grimy
EH1 L D AH0 N	1	3	sheldon	3.54	sheldon (3.5),  selden (2.5)	sheldon, weldon, selden
EH1 S AH0 N T S	1	3	adolescents	3.53	adolescents (3.5),  antidepressants (3.2)	adolescents, antidepressants, depressants
AO1 L T AH0 N	1	3	dalton	3.53	dalton (3.5)	dalton, walton, alton
IY1 T AH0 L	1	3	beetle	3.53	beetle (3.5),  fetal (3.4)	beetle, fetal, beatle
AE1 G R AH0	1	3	niagara	3.52	niagara (3.5)	niagara, viagra, agra
EH1 M B L IH0 NG	1	3	resembling	3.52	resembling (3.5)	resembling, assembling, trembling
AH1 K AH0 L	1	3	chuckle	3.52	chuckle (3.5)	chuckle, buckle, knuckle
AO1 R ER0 Z	1	3	horrors	3.52	horrors (3.5),  explorers (3.4)	horrors, explorers, scorers
EH1 R OW2	1	3	janeiro	3.52	janeiro (3.5),  farrow (2.9)	janeiro, rio-de-janeiro, farrow
AO1 L T AH0 D	1	3	halted	3.52	halted (3.5)	halted, salted, vaulted
AY1 T AH0	1	3	vita	3.52	vita (3.5),  vitae (2.8)	vita, ita, vitae
EH1 N CH IH0 Z	1	3	trenches	3.51	trenches (3.5)	trenches, benches, wrenches
AH1 SH ER0	1	3	usher	3.51	usher (3.5)	usher, crusher, rusher
EH1 T R IH0 K S	1	3	metrics	3.51	metrics (3.5)	metrics, obstetrics, econometrics
AW1 N D L IY0	1	3	profoundly	3.51	profoundly (3.5)	profoundly, soundly, roundly
AE1 P ER0 Z	1	3	rappers	3.51	rappers (3.5)	rappers, wrappers, trappers
AE1 K L IH0 NG	1	3	tackling	3.5	tackling (3.5)	tackling, crackling, cackling
IH1 K S ER0	1	3	mixer	3.5	mixer (3.5),  elixir (3.2)	mixer, elixir, fixer
